Field_ID,Elevation,Rainfall,Min_temperature_C,Max_temperature_C,pH,Pollution_level,Plot_size,Annual_yield,Crop_type
1162,494.95615,1507.6,-5.4,31,6.859435668861138,0.007034216,3.6,1.6174206276458771,coffee
5108,663.7339,581,-4.7,30.9,5.603219232201785,0.289642984,4.2,2.532497367146888,potato
3504,396.8799,1715.1,-6.1,31.7,5.7741163717463415,0.000408785,2.6,1.2622072284763295,banana
5351,594.8037,1748,-4.3,33.6,6.477415377,0.08877719,7.9,4.351563687132063,wheat
905,609.498,1395.8,-4.5,31.3,5.419586358211655,0.050022517,10.8,5.034791280425336,cassava
2274,270.451,1665.2,-7.2,34.3,5.873081619160732,0.001544747,3.9,1.743458072,banana
3990,749.43427,728,-3.8,31.1,6.098061756073079,0.3307371231529829,2.7,1.404141885807768,maize
1148,753.99786,1258.5,-3.3,28.7,5.934154283249535,0.03828047,8.2,4.628492548113356,wheat
2134,840.584,579.5,-3.1,28.1,5.697434167640267,0.2329205429643146,4.2,2.470871986746584,potato
5632,618.01624,888,-4.9,26.9,5.231630449795771,0.4996457827839787,0.7,0.3506035530052386,wheat
3526,701.1468,1354.3,-3.7,26.1,5.149978516119852,0.2160737086795805,14.9,6.439340421033914,wheat
1789,701.6991,581.4,-4.4,31.4,6.348242657498739,0.2402442023878147,1.6,0.9386986832338122,wheat
2337,739.63495,1160.8,-3.5,29.7,5.388973326160191,0.062176614,3.2,1.4208033139166274,wheat
4807,520.2977,292.3,-6.3,32.9,5.379285800073401,0.1965892189415077,1.4,0.8815679013784199,potato
973,432.0357,1464.4,-6,30.2,7.482802464532021,0.019800297,3,1.3774343279467036,wheat
4400,676.57086,1036.8,-4.2,29.1,5.345516314,0.1582397945888558,3.5,1.985430198261657,cassava
892,823.2931,598.1,-3.3,28.7,5.142679048949877,0.3103021840498628,2.2,1.3451570451297397,potato
361,588.61615,1051.7,-5.1,31.3,5.201006363374609,0.6602456808286977,4.6,1.9688735511448805,wheat
3803,500.45013,2009.6,-4.9,32,6.915591998106333,0.014531575,2.9,1.4539189227399982,wheat
4469,460.93362,1718.2,-5.6,31.4,7.3835734256694385,0.2194806736251307,3.4,1.4545809261604288,wheat
2773,613.1408,1037.2,-4.8,29.5,5.486385658331299,0.7185542292491964,1.5,0.8133994136587291,potato
4131,516.66833,1095.4,-5.6,32.6,6.286629902063576,0.7001855693506001,1.2,0.572358085,maize
3381,764.19775,710.7,-4,28.5,6.573048289343448,0.4590709505991376,3,1.5886183117563968,wheat
837,790.03217,1111.9,-3.1,28.8,5.021361491085236,0.5159137699600763,9.7,3.198501581165264,wheat
1735,779.5538,1435.4,-2.9,29.7,5.296714132285013,0.1066376134153571,2.6,1.1997266349541265,coffee
388,497.49493,1152.3,-5.7,30.8,5.717021282942289,0.5192508536993794,4.2,2.4367118017073635,cassava
4516,299.92496,1649.3,-7.1,32.6,6.8657828577027855,0.000375458,2.2,0.8181032708321648,banana
3870,603.9783,936.6,-5,28.2,5.175407915909968,0.7140532580418087,1.4,0.7536783272913715,potato
1947,498.10596,374.3,-6.4,31,5.313220137892771,0.013664556,2.8,1.8405429435470857,potato
762,797.7817,1637.3,-2.6,31.6,5.567186647582679,0.2596819980781054,11,7.812350750042292,tea
5293,771.7991,1581.4,-2.8,28.6,3.992535783845889,0.3129234860135876,1,0.6205450396724074,tea
758,696.38367,642.6,-4.4,31.5,4.540218024,0.2050711552596801,1.2,0.6322532602799946,potato
1603,510.2128,306.2,-6.4,28.4,5.628532079836076,0.1074503617118816,9.1,5.840934609153981,potato
297,680.658,1533.4,-3.7,31.4,4.306534852724754,0.013086401,3.4,2.537824523999218,tea
4200,832.9359,625.4,-3.2,29.3,5.839186844120063,0.1802444629309411,7.4,4.671507045392406,potato
4811,959.1869,850.7,-1.8,28,6.113444560561043,0.2114400918863804,3.6,1.4233476336112387,coffee
5405,906.57306,681.2,-2.4,28.5,4.338617399498475,0.2835704448026169,0.7,0.3327051712468807,potato
4,886.353,785.2,-2.5,31,5.721233805709933,0.043190275,1.5,0.8326139707528435,wheat
1440,738.8291,1529,-3.2,30.5,5.112511734196096,0.3835702805133453,1.1,0.7671453011631757,tea
2119,376.53107,1835.2,-6.1,35,7.056357205819907,0.2915785684331862,5,2.164695125971538,wheat
5599,684.10864,1905.7,-3.4,28.7,3.945225661451519,0.1912538097244536,1.2,0.9045311523261356,tea
3411,657.1393,1199,-3.9,29.2,5.247436642082638,0.045289023,1.5,0.6232917028708511,wheat
3071,699.3865,566.9,-4.4,30.5,5.681898608705217,0.2329907060718533,8.7,5.326167093217784,potato
2022,744.1646,1401.3,-3.1,30.2,4.831555222,0.1290392906968679,1.2,0.8667912967569146,tea
1471,589.1635,1318.6,-4.8,30.7,5.413547595373022,0.047758894,3.4,1.6549503045865053,cassava
1350,785.3389,2245.1,-2.1,31.1,4.325624016520268,0.2536966745313239,1.5,0.9833555210674833,tea
927,714.98804,1362.3,-3.6,30.4,5.369133436651329,0.1013346944534955,1.9,1.3771463569433666,tea
4706,796.5412,1467.5,-2.7,28.6,5.423996802216155,0.057128176,1.8,0.956310563,cassava
1836,68.023636,1465.4,-9.6,34,6.454844320720194,0.00213644,0.5,0.21025439,banana
1113,282.95966,1618.8,-7.3,32.2,6.6068859309981445,2.777132954612699e-05,3,1.5515613000514863,wheat
5447,663.33936,1982.2,-3.4,29.1,4.926208440357641,0.1553351895933651,3.8,1.3785981812773729,cassava
4111,839.2661,1411.6,-2.4,32.4,4.980151298265813,0.074065948,3.2,2.184311698946252,tea
659,488.3734,1295.7,-5.7,32.6,5.466152958875723,0.009717066,1.9,0.910553372,wheat
2707,756.2342,1283.6,-3.3,29.1,5.541285446692439,0.3695357852764032,9.6,4.987965845498289,cassava
914,669.2102,422.3,-4.8,28.8,5.310872817708512,0.1951610669925585,1.4,0.8279814211454066,potato
1892,472.6773,1954.5,-5.2,33.6,5.795520743069587,0.044571901,2.1,1.2260711324547788,banana
3423,454.18573,1087.5,-6.2,32.2,5.245403826401105,0.6092466147612354,0.9,0.4963278512035793,cassava
3360,436.91107,1412.8,-6,32.8,5.581197049921409,0.009072596,1.3,0.8691259181603642,rice
2986,566.8305,491.4,-5.7,33.8,6.182262373929042,0.2823583230197273,1.6,1.0956044707186934,wheat
4116,656.28357,1661.9,-3.8,28,4.241267686944588,0.085354099,1.2,0.9366251759479484,tea
4551,863.02594,1403.3,-2.2,28.8,5.017303367395987,0.2070494457787396,1.4,0.9185135538998246,tea
2308,537.22186,414.3,-6,29.1,5.935687017122628,0.011879961,4.7,3.2096951613249867,wheat
5440,793.55756,1817.4,-2.4,27.8,4.901760847259751,0.1474035909654544,13.2,10.844556318427443,tea
178,746.5847,486.4,-4.1,31,5.719498422400591,0.2981516407481411,3,1.7858354973668455,potato
5575,897.5817,684.4,-2.5,30.1,5.083640968049919,0.3078385777748415,1.7,0.9337758199353382,potato
3408,480.27383,1237.7,-5.9,33.5,4.975716584295148,0.077333052,13,5.231241574979114,banana
664,821.0447,2243.5,-1.8,31.5,5.456048754477373,0.3733333397767747,2.3,1.4040959673762756,coffee
2895,715.3202,1072.6,-3.8,33,5.811126852285793,0.1374422089559616,12.6,5.054496433567375,coffee
5212,856.2192,644.6,-2.9,28.8,6.101410682062316,0.1478050623648417,4.8,2.944306470836291,maize
378,668.92944,1689.8,-3.7,26.9,5.172571725278557,0.092694526,12.5,6.447492137180992,banana
287,941.4087,782.8,-2,27.2,4.848963566724335,0.087614732,0.7,0.3399786024756179,wheat
4526,418.27814,1791.6,-5.9,31.6,6.432091485930945,0.030692887,4.4,2.3661080753522405,coffee
956,733.9847,899.7,-3.8,32.8,5.3902427125471615,0.3782148897605597,3.8,2.0777079827341254,cassava
69,344.45914,1731.1,-6.6,32,5.2662899339037486,0.02786805,1.4,0.5861304846793628,banana
2015,472.8047,1580.6,-5.6,32.7,6.677039070724877,0.052282589,1.8,0.9779386481589056,wheat
4928,443.10266,1570.2,-5.8,31,7.484682522648175,0.008724978,3.6,1.2006119628772325,banana
5043,448.94537,1088,-6.2,31.5,5.907746775365911,0.5713840352493915,0.9,0.5287965556254396,cassava
544,503.58212,1111.3,-5.7,32,6.093316357538447,0.7853330010255496,0.7,0.3370528450908725,wheat
3465,535.8766,482.1,-6,30.1,4.942709769126084,0.022207132,1.2,0.711717511,wheat
5353,980.238,875.2,-1.6,27.9,5.946369239982832,0.2078657214234437,1.7,1.0293525573845648,wheat
4674,843.43085,628.7,-3.1,30.9,5.120247375107772,0.2807878828748607,0.9,0.4249434320764176,wheat
2821,860.2152,702.7,-2.8,30,5.554453463628305,0.093785309,8.3,4.835455048601704,maize
5009,733.56506,1289.6,-3.5,31.2,5.085774639296987,0.7053322237129211,4.4,2.2882451917062894,tea
5551,346.312,1768.3,-6.5,33.7,5.563320747527983,9.226544739618096e-05,13.9,6.519255574103732,banana
5561,782.91455,537.1,-3.7,30.8,5.328347476605323,0.3074521618295516,2.8,1.7078194125651376,potato
